cpn60 UT,Strain,AluI Band Sizes,AluI Number of Bands,BfaI Band Sizes,BfaI Number of Bands,HinfI Band Sizes,HinfI Number of Bands,HpaI Band Sizes,HpaI Number of Bands,MseI Band Sizes,MseI Number of Bands,RsaI Band Sizes,RsaI Number of Bands,TaqI Band Sizes,TaqI Number of Bands
I-I(E/AI)AI,Candidatus Phytoplasma asteris Blueberry stunt phytoplasma (BbSP),"[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 219, 74]",4,[552],1,"[100, 148, 45, 173, 57, 13, 16]",7,"[307, 101, 17, 127]",4,[552],1
I-IA,Candidatus Phytoplasma asteris Allium cepa phytoplasma (O2L),"[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 63, 127]",4,[552],1
I-IB,Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma (SF1),"[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
I-IC,Candidatus Phytoplasma asteris Aster yellows phytoplasma (AY-Col),"[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 219, 74]",4,[552],1,"[248, 218, 57, 13, 16]",5,"[362, 46, 17, 127]",4,[552],1
I-IF,Candidatus Phytoplasma asteris Aster yellows phytoplasma (CVB),"[58, 36, 381, 39, 38]",5,"[455, 97]",2,"[24, 235, 219, 74]",4,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
I-IIA,Candidatus Phytoplasma asteris Grey dogwood stunt phytoplasma (GD),"[58, 66, 351, 39, 38]",5,"[455, 97]",2,"[24, 235, 293]",3,"[92, 460]",2,"[91, 9, 148, 218, 57, 13, 16]",7,"[362, 46, 17, 127]",4,[552],1
I-IIB,Candidatus Phytoplasma asteris Aster yellows phytoplasma (AY-J),"[58, 417, 6, 33, 38]",5,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 25, 123, 218, 57, 13, 16]",7,"[307, 55, 46, 17, 127]",5,[552],1
I-IIIB,Candidatus Phytoplasma asteris Maize bushy stunt phytoplasma (MBS-Ver),"[58, 36, 381, 6, 33, 38]",6,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 25, 123, 218, 57, 13, 16]",7,"[307, 55, 46, 17, 127]",5,[552],1
I-IP,Candidatus Phytoplasma asteris Populus decline phytoplasma (PopD),"[58, 36, 30, 351, 39, 38]",6,[552],1,"[24, 235, 219, 74]",4,[552],1,"[100, 148, 275, 13, 16]",5,"[307, 101, 17, 127]",4,[552],1
I-IVB,Candidatus Phytoplasma asteris Maize bushy stunt phytoplasma (MBS-Pueb),"[58, 36, 381, 39, 38]",5,"[455, 97]",2,"[24, 235, 219, 74]",4,[552],1,"[100, 25, 123, 218, 57, 13, 16]",7,"[307, 55, 46, 17, 127]",5,[552],1
I-VB,Candidatus Phytoplasma asteris Iceland poppy yellows phytoplasma (IPY),"[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 101, 17, 127]",4,[552],1
II-IA,Candidatus Phytoplasma sp. Peanut witches-broom phytoplasma NTU2011 (PnWB),"[43, 54, 15, 15, 87, 341]",6,[555],1,"[24, 238, 93, 126, 74]",5,[555],1,"[62, 81, 108, 110, 46, 18, 23, 90, 17]",9,[555],1,[555],1
II-IC,Candidatus Phytoplasma aurantifolia (R018),"[43, 69, 79, 23, 165, 176]",6,[555],1,"[24, 238, 93, 126, 74]",5,[555],1,"[62, 14, 67, 108, 110, 27, 19, 18, 23, 90, 17]",11,[555],1,"[161, 150, 108, 136]",4
IV-IA,KY779619.1_1  Cocos nucifera  phytoplasma GroEL gene  complete cds  IV-IE F=0.86 (Cocos nucifera phytoplasma),"[13, 51, 30, 458]",4,[552],1,"[49, 210, 219, 74]",4,[552],1,"[26, 12, 50, 358, 20, 34, 15, 21, 16]",9,[552],1,[552],1
IV-IC,Candidatus Phytoplasma cocostanzaniae (TagTall),"[64, 30, 23, 52, 42, 6, 335]",7,[552],1,"[24, 235, 219, 74]",4,[552],1,"[38, 234, 21, 153, 54, 15, 21, 16]",8,[552],1,"[158, 394]",2
IV-IE,Candidatus Phytoplasma palmae (Palm-A-DR),"[13, 81, 117, 341]",4,[552],1,"[49, 210, 219, 74]",4,[552],1,"[26, 12, 50, 358, 20, 34, 15, 21, 16]",9,[552],1,[552],1
IX-IA,Candidatus Phytoplasma phoenicium Brazilian Huanglongbing phytoplasma (Cr),"[64, 30, 30, 87, 165, 176]",6,[552],1,"[24, 235, 293]",3,[552],1,"[47, 27, 174, 267, 21, 16]",6,[552],1,"[140, 412]",2
IX-IB,Candidatus Phytoplasma phoenicium Almond witches-broom (SA213),"[64, 30, 30, 87, 165, 171, 5]",7,"[283, 269]",2,"[259, 293]",2,[552],1,"[47, 27, 372, 90, 16]",5,"[293, 259]",2,"[99, 59, 394]",3
IX-IJ,Candidatus Phytoplasma phoenicium (ChicBS),"[64, 30, 117, 165, 171, 5]",6,[552],1,"[24, 235, 293]",3,[552],1,"[47, 27, 441, 21, 16]",5,"[293, 259]",2,"[140, 18, 394]",3
KJ939976.1_1,KJ939976.1_1 Catharanthus roseus length=552 (+ strand),"[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
KJ939983.1_2,"KJ939983.1_2 'Brassica napus' phytoplasma isolate TM1741_F12_Brassica-root chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 63, 127]",4,[552],1
KJ939984.1_3,"KJ939984.1_3 'Brassica napus' phytoplasma isolate canola chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 63, 127]",4,[552],1
KJ939985.1_4,"KJ939985.1_4 'Brassica napus' phytoplasma isolate TM1524_G05_canola-96_2 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 63, 127]",4,[552],1
KJ939986.1_5,"KJ939986.1_5 'Brassica napus' phytoplasma isolate TM1524_F11_canola-9_1 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 63, 127]",4,[552],1
KJ939987.1_6,"KJ939987.1_6 'Daucus carota' phytoplasma isolate TM1741_G04_carrot chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
KJ939988.1_7,"KJ939988.1_7 'Daucus carota' phytoplasma isolate TM1311_C11_carrgroEL-4 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
KJ939990.1_8,"KJ939990.1_8 'Vinca sp.' phytoplasma isolate JB0071_B02_CFIA1-1 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[13, 81, 66, 315, 77]",5,"[70, 482]",2,"[24, 235, 293]",3,[552],1,"[38, 9, 27, 15, 249, 41, 25, 9, 9, 21, 23, 34, 35, 17]",14,[552],1,"[362, 6, 184]",3
KJ939991.1_9,"KJ939991.1_9 'Catharanthus roseus' phytoplasma isolate JB0071_B08_CFIA4-1 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[13, 81, 66, 315, 77]",5,"[70, 482]",2,"[24, 235, 293]",3,[552],1,"[38, 9, 27, 15, 249, 41, 25, 9, 9, 21, 23, 34, 35, 17]",14,[552],1,"[362, 6, 184]",3
KJ939992.1_10,"KJ939992.1_10 Candidatus Phytoplasma ulmi isolate JB0071_C04_CFIA7-2 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[13, 81, 66, 315, 77]",5,"[70, 482]",2,"[24, 235, 293]",3,[552],1,"[38, 9, 27, 15, 249, 41, 25, 9, 9, 21, 23, 34, 35, 17]",14,[552],1,"[362, 6, 184]",3
KJ939994.1_11,"KJ939994.1_11 'Catharanthus roseus' phytoplasma isolate BP0265_G06_COL chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 219, 74]",4,[552],1,"[248, 218, 57, 13, 16]",5,"[362, 46, 17, 127]",4,[552],1
KJ939995.1_12,"KJ939995.1_12 'Catharanthus roseus' phytoplasma isolate BP0265_G12_CVB chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 381, 39, 38]",5,"[455, 97]",2,"[24, 235, 219, 74]",4,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
KJ939996.1_13,"KJ939996.1_13 'Catharanthus roseus' phytoplasma isolate BP0265_G08_GY chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 219, 74]",4,[552],1,"[248, 218, 57, 13, 16]",5,"[362, 46, 17, 127]",4,[552],1
KJ939997.1_14,"KJ939997.1_14 'Allium cepa' phytoplasma isolate AY chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 63, 127]",4,[552],1
KJ939998.1_15,"KJ939998.1_15 'Allium cepa' phytoplasma isolate TM1311_C01_O2lfgroEL-2 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 63, 127]",4,[552],1
KJ939999.1_16,"KJ939999.1_16 'Allium cepa' phytoplasma isolate TM1311_C05_O2lfMBgroEL-3 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 63, 127]",4,[552],1
KJ940004.1_17,"KJ940004.1_17 'Catharanthus roseus' phytoplasma isolate TM1741_G06_periwinkle chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
KJ940006.1_18,"KJ940006.1_18 Candidatus Phytoplasma solani isolate BP0093_C03_Phyto5-1 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",[552],1,"[70, 482]",2,"[24, 25, 210, 192, 52, 49]",6,[552],1,"[38, 36, 174, 119, 18, 151, 16]",7,"[293, 259]",2,"[86, 168, 298]",3
KJ940009.1_19,"KJ940009.1_19 'Ligustrum sinense' phytoplasma isolate TM1756_A02_privet-3 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 63, 127]",4,[552],1
KJ940011.1_20,"KJ940011.1_20 'Brassica napobrassica' phytoplasma isolate TM1741_G02_rutabega chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 63, 127]",4,[552],1
KJ940012.1_21,"KJ940012.1_21 'Brassica napobrassica' phytoplasma isolate TM1311_B09_rutagroEL-1 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 39, 38]",6,"[139, 316, 97]",3,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 63, 127]",4,[552],1
KJ940013.1_22,"KJ940013.1_22 'Linum usitatissimum' phytoplasma isolate TM1454_F09_SF-1_F-80 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
KJ940014.1_23,"KJ940014.1_23 'Linum usitatissimum' phytoplasma isolate SF-2_UT chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)","[58, 36, 30, 351, 6, 33, 38]",7,"[455, 97]",2,"[24, 235, 293]",3,[552],1,"[100, 148, 218, 57, 13, 16]",6,"[307, 55, 46, 17, 127]",5,[552],1
