Sequence ID,Description,Query ID,Target ID,Coverage,Percent Identity,Length,Mismatch,Gap Open,Query Start,Query End,Target Start,Target End,Strandedness,E-Value,Bit Score,Classification
KJ939998.1_5_5,"KJ939998.1_5_5 'Allium cepa' phytoplasma isolate TM1311_C01_O2lfgroEL-2 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ939998.1_5_5,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ940006.1_7_7,"KJ940006.1_7_7 Candidatus Phytoplasma solani isolate BP0093_C03_Phyto5-1 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ940006.1_7_7,b27168 KJ939979 Candidatus Phytoplasma solani Bois noir phytoplasma BN44948,100,99.819,552,1,0,1,552,1,552,plus,0.0,991,Phytoplasma sequence (+ strand)
KJ939990.1_2_2,"KJ939990.1_2_2 'Vinca sp.' phytoplasma isolate JB0071_B02_CFIA1-1 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ939990.1_2_2,b27155 KJ939990 Candidatus Phytoplasma sp. rubi Rubus stunt phytoplasma RS,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ939991.1_3_3,"KJ939991.1_3_3 'Catharanthus roseus' phytoplasma isolate JB0071_B08_CFIA4-1 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ939991.1_3_3,b27155 KJ939990 Candidatus Phytoplasma sp. rubi Rubus stunt phytoplasma RS,100,98.551,552,8,0,1,552,1,552,plus,0.0,960,Phytoplasma sequence (+ strand)
KJ940018.1_12_12,"KJ940018.1_12_12 'Thlaspi arvense' phytoplasma isolate TM1760_F01_SWR2-H280P chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ940018.1_12_12,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ940009.1_8_8,"KJ940009.1_8_8 'Ligustrum sinense' phytoplasma isolate TM1756_A02_privet-3 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ940009.1_8_8,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,99.457,552,3,0,1,552,1,552,plus,0.0,982,Phytoplasma sequence (+ strand)
KJ939994.1_4_4,"KJ939994.1_4_4 'Catharanthus roseus' phytoplasma isolate BP0265_G06_COL chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ939994.1_4_4,b27144 KJ939994 Candidatus Phytoplasma asteris Aster yellows phytoplasma AY-Col,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ939987.1_1_1,"KJ939987.1_1_1 'Daucus carota' phytoplasma isolate TM1741_G04_carrot chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ939987.1_1_1,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ940017.1_11_11,"KJ940017.1_11_11 'Thlaspi arvense' phytoplasma isolate TM1760_E11_SWR1-H280P chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ940017.1_11_11,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ940004.1_6_6,"KJ940004.1_6_6 'Catharanthus roseus' phytoplasma isolate TM1741_G06_periwinkle chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ940004.1_6_6,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ940011.1_9_9,"KJ940011.1_9_9 'Brassica napobrassica' phytoplasma isolate TM1741_G02_rutabega chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ940011.1_9_9,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,99.819,552,1,0,1,552,1,552,plus,0.0,991,Phytoplasma sequence (+ strand)
KJ940013.1_10_10,"KJ940013.1_10_10 'Linum usitatissimum' phytoplasma isolate TM1454_F09_SF-1_F-80 chaperonin-60 (cpn60) gene, partial cds length=552 (+ strand)",KJ940013.1_10_10,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
