cpn60 UT,I-I(E/AI)AI,I-IA,I-IB,I-IC,I-IF,I-IIA,I-IIB,I-IIIB,I-IP,I-IVB,I-VB,II-IA,II-IC,IV-IA,IV-IC,IV-IE,IX-IA,IX-IB,IX-IJ,KJ939976.1_1,KJ939983.1_2,KJ939984.1_3,KJ939985.1_4,KJ939986.1_5,KJ939987.1_6,KJ939988.1_7,KJ939990.1_8,KJ939991.1_9,KJ939992.1_10,KJ939994.1_11,KJ939995.1_12,KJ939996.1_13,KJ939997.1_14,KJ939998.1_15,KJ939999.1_16,KJ940004.1_17,KJ940006.1_18,KJ940009.1_19,KJ940011.1_20,KJ940012.1_21,KJ940013.1_22,KJ940014.1_23,KJ940015.1_24,KJ940016.1_25,KJ940017.1_26,KJ940018.1_27,V-IC,VII-IA,X-IA,X-IC,X-IF,XI-ID,XII-I(B/C)B,XII-IA,XIII-(A/I)I,XIV-IA,XIV-IC,XV-IB
I-I(E/AI)AI,1.00,0.79,0.76,0.79,0.82,0.61,0.61,0.64,0.85,0.76,0.82,0.08,0.07,0.26,0.29,0.22,0.22,0.13,0.22,0.76,0.79,0.79,0.79,0.79,0.76,0.76,0.11,0.11,0.11,0.79,0.82,0.79,0.79,0.79,0.79,0.76,0.13,0.79,0.79,0.73,0.76,0.76,0.76,0.76,0.76,0.76,0.11,0.20,0.23,0.28,0.32,0.33,0.33,0.13,0.26,0.04,0.04,0.12
I-IA,0.79,1.00,0.88,0.74,0.81,0.68,0.72,0.75,0.71,0.75,0.85,0.04,0.04,0.18,0.21,0.14,0.28,0.18,0.27,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.15,0.15,0.15,0.74,0.81,0.74,1.00,1.00,1.00,0.88,0.13,1.00,1.00,0.94,0.88,0.88,0.88,0.88,0.88,0.88,0.15,0.21,0.14,0.20,0.24,0.21,0.30,0.13,0.23,0.00,0.00,0.08
I-IB,0.76,0.88,1.00,0.75,0.82,0.69,0.86,0.88,0.68,0.76,0.94,0.04,0.04,0.17,0.24,0.13,0.27,0.17,0.26,1.00,0.88,0.88,0.88,0.88,1.00,1.00,0.15,0.15,0.15,0.75,0.82,0.75,0.88,0.88,0.88,1.00,0.13,0.88,0.88,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.15,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
I-IC,0.79,0.74,0.75,1.00,0.81,0.72,0.64,0.67,0.71,0.79,0.72,0.09,0.08,0.27,0.30,0.23,0.23,0.13,0.23,0.75,0.74,0.74,0.74,0.74,0.75,0.75,0.12,0.12,0.12,1.00,0.81,1.00,0.74,0.74,0.74,0.75,0.13,0.74,0.74,0.68,0.75,0.75,0.75,0.75,0.75,0.75,0.12,0.17,0.24,0.34,0.33,0.30,0.35,0.13,0.27,0.04,0.04,0.12
I-IF,0.82,0.81,0.82,0.81,1.00,0.67,0.75,0.82,0.74,0.94,0.75,0.08,0.08,0.22,0.25,0.22,0.18,0.09,0.18,0.82,0.81,0.81,0.81,0.81,0.82,0.82,0.11,0.11,0.11,0.81,1.00,0.81,0.81,0.81,0.81,0.82,0.13,0.81,0.81,0.75,0.82,0.82,0.82,0.82,0.82,0.82,0.11,0.17,0.23,0.29,0.33,0.29,0.34,0.13,0.26,0.04,0.04,0.12
I-IIA,0.61,0.68,0.69,0.72,0.67,1.00,0.62,0.61,0.52,0.61,0.67,0.04,0.04,0.09,0.12,0.09,0.18,0.09,0.18,0.69,0.68,0.68,0.68,0.68,0.69,0.69,0.19,0.19,0.19,0.72,0.67,0.72,0.68,0.68,0.68,0.69,0.09,0.68,0.68,0.62,0.69,0.69,0.69,0.69,0.69,0.69,0.19,0.25,0.14,0.14,0.19,0.17,0.26,0.09,0.19,0.00,0.00,0.08
I-IIB,0.61,0.72,0.86,0.64,0.75,0.62,1.00,0.94,0.52,0.82,0.79,0.04,0.04,0.13,0.21,0.13,0.23,0.13,0.22,0.86,0.72,0.72,0.72,0.72,0.86,0.86,0.19,0.19,0.19,0.64,0.75,0.64,0.72,0.72,0.72,0.86,0.13,0.72,0.72,0.67,0.86,0.86,0.86,0.86,0.86,0.86,0.19,0.21,0.14,0.19,0.23,0.21,0.30,0.13,0.23,0.00,0.00,0.08
I-IIIB,0.64,0.75,0.88,0.67,0.82,0.61,0.94,1.00,0.55,0.88,0.82,0.04,0.04,0.13,0.20,0.13,0.22,0.13,0.22,0.88,0.75,0.75,0.75,0.75,0.88,0.88,0.19,0.19,0.19,0.67,0.82,0.67,0.75,0.75,0.75,0.88,0.13,0.75,0.75,0.69,0.88,0.88,0.88,0.88,0.88,0.88,0.19,0.20,0.14,0.19,0.23,0.20,0.29,0.13,0.22,0.00,0.00,0.08
I-IP,0.85,0.71,0.68,0.71,0.74,0.52,0.52,0.55,1.00,0.68,0.74,0.09,0.08,0.33,0.35,0.28,0.29,0.14,0.28,0.68,0.71,0.71,0.71,0.71,0.68,0.68,0.12,0.12,0.12,0.71,0.74,0.71,0.71,0.71,0.71,0.68,0.14,0.71,0.71,0.70,0.68,0.68,0.68,0.68,0.68,0.68,0.12,0.22,0.29,0.30,0.39,0.30,0.36,0.14,0.27,0.04,0.04,0.12
I-IVB,0.76,0.75,0.76,0.79,0.94,0.61,0.82,0.88,0.68,1.00,0.69,0.08,0.07,0.22,0.24,0.22,0.18,0.09,0.17,0.76,0.75,0.75,0.75,0.75,0.76,0.76,0.15,0.15,0.15,0.79,0.94,0.79,0.75,0.75,0.75,0.76,0.13,0.75,0.75,0.69,0.76,0.76,0.76,0.76,0.76,0.76,0.15,0.16,0.23,0.28,0.32,0.29,0.33,0.13,0.26,0.04,0.04,0.12
